filename,captcha_text,predicted_text,predicted_text_printed,cleaned_predicted_text,cleaned_predicted_text_printed,chr_acc_hw,chr_acc_p
/kaggle/input/test-black/test_cleaned_black_resized/wcgxtu6-0.png,wcgxtu6,W.C.O.X. K.U.B.B.,W C Q X T U 6,wcoxkubb,wcqxtu6,4,6
/kaggle/input/test-black/test_cleaned_black_resized/e6pbcz1k-0.png,e6pbcz1k,e6p.b.czyk .,E6PBCZ1K,e6pbczyk,e6pbcz1k,7,8
/kaggle/input/test-black/test_cleaned_black_resized/89uxia-0.png,89uxia,# # B.G ) W.S.S.,09/W8,bgwss,09w8,0,1
/kaggle/input/test-black/test_cleaned_black_resized/uewr-0.png,uewr,# U.E. W.R. 1 .,UEWR,uewr1,uewr,4,4
/kaggle/input/test-black/test_cleaned_black_resized/dxyz-0.png,dxyz,stocked by X Z2000,0.02,stockedbyxz2000,002,0,0
/kaggle/input/test-black/test_cleaned_black_resized/gdg7h-0.png,gdg7h,0 9d 9 7 h.,9J97H,09d97h,9j97h,0,2
/kaggle/input/test-black/test_cleaned_black_resized/ermoo4-0.png,ermoo4,e.r.m.o.o.,9 RM 0 0 4,ermoo,9rm004,5,3
/kaggle/input/test-black/test_cleaned_black_resized/qkcc0kg0-0.png,qkcc0kg0,O K.C C.O K.G.O,OKCCOKGO,okccokgo,okccokgo,5,5
/kaggle/input/test-black/test_cleaned_black_resized/a05d1v-0.png,a05d1v,a 0 5 d 1 V.V.,8 0 5 JULV,a05d1vv,805julv,6,2
/kaggle/input/test-black/test_cleaned_black_resized/lgk7dl-0.png,lgk7dl,a. ) g.k.7d.l.,106701,agk7dl,106701,5,1
/kaggle/input/test-black/test_cleaned_black_resized/2cteaog-0.png,2cteaog,2c.c.t.e.a.o.9,2 CT E A O G,2ccteao9,2cteaog,2,7
/kaggle/input/test-black/test_cleaned_black_resized/jmike663-0.png,jmike663,""" Mr. ) X2C.B.B.S.",IN/VILL,mrx2cbbs,invill,0,0
/kaggle/input/test-black/test_cleaned_black_resized/4ll943lc-0.png,4ll943lc,4x119x3/c.,4/9X3IC,4x119x3c,49x3ic,2,1
/kaggle/input/test-black/test_cleaned_black_resized/4mby0ex-0.png,4mby0ex,4 m.b. Y.O.e.x,4 M B Y 0 E X,4mbyoex,4mby0ex,6,7
/kaggle/input/test-black/test_cleaned_black_resized/0wcz1w-0.png,0wcz1w,# now CET in.,OWCRT@,nowcetin,owcrt,0,2
/kaggle/input/test-black/test_cleaned_black_resized/57z6amy5-0.png,57z6amy5,5 7 2 6.8 in. 5.5,5726&WV5,57268in55,5726wv5,4,3
/kaggle/input/test-black/test_cleaned_black_resized/a7boq-0.png,a7boq,# A. 7. B. D.O.,A 7 8.00,a7bdo,a7800,3,2
/kaggle/input/test-black/test_cleaned_black_resized/h0n14-0.png,h0n14,H.O.N.2S.,HON/4,hon2s,hon4,2,2
/kaggle/input/test-black/test_cleaned_black_resized/1awqu-0.png,1awqu,""" I mean of the way of the",1 @ WW Q V,imeanofthewayofthe,1wwqv,0,3
/kaggle/input/test-black/test_cleaned_black_resized/438j245-0.png,438j245,4 3 3 ) 2 4 5.,43% / $4,433245,434,2,2
/kaggle/input/test-black/test_cleaned_black_resized/9roi-0.png,9roi,9 R.O. ),9 R 0 1,9ro,9r01,3,2
/kaggle/input/test-black/test_cleaned_black_resized/5bv9m-0.png,5bv9m,5 b.v. 9m.,5 b V 9 M,5bv9m,5bv9m,5,5
/kaggle/input/test-black/test_cleaned_black_resized/stl4xtj-0.png,stl4xtj,S T.L H.X.T. J,5TL4XT0,stlhxtj,5tl4xt0,6,5
/kaggle/input/test-black/test_cleaned_black_resized/ajst-0.png,ajst,a )s !,AJST,as,ajst,1,4
/kaggle/input/test-black/test_cleaned_black_resized/ojfqa585-0.png,ojfqa585,0 ) f.0.0.S.8.S.,0 / 6 0 0 3 8 5,0f00s8s,0600385,0,0
/kaggle/input/test-black/test_cleaned_black_resized/dp8vc-0.png,dp8vc,and # D.B. W.C.,DP8VC,anddbwc,dp8vc,0,5
/kaggle/input/test-black/test_cleaned_black_resized/13be3kf-0.png,13be3kf,- 13BE3KF.,13BE3KF,13be3kf,13be3kf,7,7
/kaggle/input/test-black/test_cleaned_black_resized/vq3ft7f-0.png,vq3ft7f,r.8 3f.r.7r.,VQ 3f / 1 /,r83fr7r,vq3f1,3,4
/kaggle/input/test-black/test_cleaned_black_resized/u1rfaq41-0.png,u1rfaq41,U.1 R.F.A.Q.1,U 1 R F A Q 4 1,u1rfaq1,u1rfaq41,6,8
/kaggle/input/test-black/test_cleaned_black_resized/qwqwkv-0.png,qwqwkv,and not to drink .,D 0000KY,andnottodrink,d0000ky,0,0
/kaggle/input/test-black/test_cleaned_black_resized/b359qg64-0.png,b359qg64,B3590G64,8359@G64,b3590g64,8359g64,7,3
/kaggle/input/test-black/test_cleaned_black_resized/xl9a2fm-0.png,xl9a2fm,2 1 1 1 1 1 2/2 1/2 1/2,110424,211111221212,110424,0,1
/kaggle/input/test-black/test_cleaned_black_resized/lhuttfhn-0.png,lhuttfhn,L A U T.T.H.N,L4OTTFHN,lautthn,l4ottfhn,4,6
/kaggle/input/test-black/test_cleaned_black_resized/ksdwylp5-0.png,ksdwylp5,X.S.D.W.Y.L.P.S,K SD W Y L P 5,xsdwylps,ksdwylp5,6,8
/kaggle/input/test-black/test_cleaned_black_resized/h4titb0-0.png,h4titb0,h.4t.i.t.b.O,h4+ITB0,h4titbo,h4itb0,6,2
/kaggle/input/test-black/test_cleaned_black_resized/god2llyl-0.png,god2llyl,G.O.D. L.LY.L.,GOD . LL Y L,godllyl,godllyl,4,4
/kaggle/input/test-black/test_cleaned_black_resized/fuk189-0.png,fuk189,f.lr k. 1 & a,FUK184,flrk1a,fuk184,1,5
/kaggle/input/test-black/test_cleaned_black_resized/ukpaowzr-0.png,ukpaowzr,# UK #000 W.ZR.,UNPADW2R,uk000wzr,unpadw2r,5,5
/kaggle/input/test-black/test_cleaned_black_resized/6nez-0.png,6nez,6th century,6NET,6thcentury,6net,1,3
/kaggle/input/test-black/test_cleaned_black_resized/stn8-0.png,stn8,"0 5,000",:,05000,,0,0
/kaggle/input/test-black/test_cleaned_black_resized/1ulul-0.png,1ulul,2 1 7 July I,/04/,217julyi,04,0,0
/kaggle/input/test-black/test_cleaned_black_resized/69a27m-0.png,69a27m,6 9 a 2 7m,6 9 A 2 7 M,69a27m,69a27m,6,6
/kaggle/input/test-black/test_cleaned_black_resized/knlb9c-0.png,knlb9c,# at a lb. 9.c.,FA/B90,atalb9c,fab90,0,0
/kaggle/input/test-black/test_cleaned_black_resized/5u24m-0.png,5u24m,""" SUZYM.",SUZHM,suzym,suzhm,2,2
/kaggle/input/test-black/test_cleaned_black_resized/y6ench2-0.png,y6ench2,4- YBench2 .,Y6ENCH2,4ybench2,y6ench2,0,7
/kaggle/input/test-black/test_cleaned_black_resized/5bsl06-0.png,5bsl06,"5th s. , , U.G.",5 W S / 0 6,5thsug,5ws06,1,2
/kaggle/input/test-black/test_cleaned_black_resized/xmur-0.png,xmur,2 1 Xaulie 2,MLIR,21xaulie2,mlir,0,1
/kaggle/input/test-black/test_cleaned_black_resized/syb3dfe2-0.png,syb3dfe2,s y. B. 3 0-f.e. 2,SYB3DFEE,syb30fe2,syb3dfee,7,7
/kaggle/input/test-black/test_cleaned_black_resized/nbeije33-0.png,nbeije33,# # # #,***1333,,1333,0,0
/kaggle/input/test-black/test_cleaned_black_resized/1ku9bzoy-0.png,1ku9bzoy,1 k.u. 9 b.2o. Y,1 K U 9 B Z O Y,1ku9b2oy,1ku9bzoy,7,8
/kaggle/input/test-black/test_cleaned_black_resized/lua1s3c-0.png,lua1s3c,L U.A.1S.3C,LUA 1S 3 C,lua1s3c,lua1s3c,7,7
/kaggle/input/test-black/test_cleaned_black_resized/9q8et-0.png,9q8et,. 9 q 8 oz.,94867,9q8oz,94867,3,2
/kaggle/input/test-black/test_cleaned_black_resized/ndtfd-0.png,ndtfd,# N.D.T.F.D.,INTER,ndtfd,inter,5,1
/kaggle/input/test-black/test_cleaned_black_resized/7iiyi4h-0.png,7iiyi4h,7 1 1y.4th.,711714H,711y4th,711714h,3,3
/kaggle/input/test-black/test_cleaned_black_resized/sryx-0.png,sryx,# S.F.Y. X.,STYX,sfyx,styx,3,3
/kaggle/input/test-black/test_cleaned_black_resized/mmzyf57-0.png,mmzyf57,# every rest .,M02Y/37,everyrest,m02y37,0,2
/kaggle/input/test-black/test_cleaned_black_resized/2iulzl-0.png,2iulzl,2 1 1 2 1 2 1 2,2 1 U L Z L,21121212,21ulzl,1,5
/kaggle/input/test-black/test_cleaned_black_resized/d9bb-0.png,d9bb,d. 9. b.b.,D 9 B B,d9bb,d9bb,4,4
/kaggle/input/test-black/test_cleaned_black_resized/9vvf-0.png,9vvf,9 v.r.f.,9 V V F,9vrf,9vvf,3,4
/kaggle/input/test-black/test_cleaned_black_resized/nqvdi-0.png,nqvdi,Nov 07,NOVDL,nov07,novdl,2,3
/kaggle/input/test-black/test_cleaned_black_resized/cxttv-0.png,cxttv,""" E.C. S. 7.T.N.",CATN,ecs7tn,catn,0,2
/kaggle/input/test-black/test_cleaned_black_resized/847n4v-0.png,847n4v,# 847n4v.,847N4V,847n4v,847n4v,6,6
/kaggle/input/test-black/test_cleaned_black_resized/aiu0q3n5-0.png,aiu0q3n5,a i u. 0 q. 3n. 5,A I U D Q 3 N 5,aiu0q3n5,aiudq3n5,8,7
/kaggle/input/test-black/test_cleaned_black_resized/ngqm-0.png,ngqm,# no more,DQQM,nomore,dqqm,1,2
/kaggle/input/test-black/test_cleaned_black_resized/rgmvx-0.png,rgmvx,R G.N. X. X.,AGWVX,rgnxx,agwvx,3,3
/kaggle/input/test-black/test_cleaned_black_resized/szbx-0.png,szbx,5-S.Z.B.X.,S Z B X,5szbx,szbx,0,4
/kaggle/input/test-black/test_cleaned_black_resized/qjx5x94-0.png,qjx5x94,""" q ) x 5 x.4",QJX5X94,qx5x4,qjx5x94,1,7
/kaggle/input/test-black/test_cleaned_black_resized/rpprfe-0.png,rpprfe,a b. R.P.P.R.F.E00008,RPPRFE,abrpprfe00008,rpprfe,0,6
/kaggle/input/test-black/test_cleaned_black_resized/pocoyl-0.png,pocoyl,P.O.C.DY.L.,POCOYL,pocdyl,pocoyl,5,6
/kaggle/input/test-black/test_cleaned_black_resized/gzwi3-0.png,gzwi3,0-82 4.13,924/8,082413,9248,0,0
/kaggle/input/test-black/test_cleaned_black_resized/ambcqo-0.png,ambcqo,0 m.6.c.a.,0 0 6 0.40,0m6ca,006040,2,0
/kaggle/input/test-black/test_cleaned_black_resized/2sxkz2vj-0.png,2sxkz2vj,2 S.S. H.H.2 2 W.S.,2 S X X Z 2 U J,2sshh22ws,2sxxz2uj,3,6
/kaggle/input/test-black/test_cleaned_black_resized/6ip3gj8w-0.png,6ip3gj8w,s i.i.p. 3. 9. ) 8 W.,SLP39J8W,siip398w,slp39j8w,3,5
/kaggle/input/test-black/test_cleaned_black_resized/ac0k2ac-0.png,ac0k2ac,a.c.O.K.2a.c.,ACOK2AC,acok2ac,acok2ac,6,6
/kaggle/input/test-black/test_cleaned_black_resized/9e1e5t3-0.png,9e1e5t3,9 e 1 e 5 ft 3,9 E 1 E 5 1 3,9e1e5ft3,9e1e513,5,6
/kaggle/input/test-black/test_cleaned_black_resized/k070g5pe-0.png,k070g5pe,2k070g5pe.,K07095PE,2k070g5pe,k07095pe,0,7
/kaggle/input/test-black/test_cleaned_black_resized/qgdi29qt-0.png,qgdi29qt,a g.d.1 2.9.4,Q S @ 1 2 9 Q T,agd1294,qs129qt,4,1
/kaggle/input/test-black/test_cleaned_black_resized/sojq-0.png,sojq,"also , is a",S O / Q,alsoisa,soq,0,2
/kaggle/input/test-black/test_cleaned_black_resized/3w4cxb4-0.png,3w4cxb4,3w4cx BA.,3W4CX64,3w4cxba,3w4cx64,6,6
/kaggle/input/test-black/test_cleaned_black_resized/64alz-0.png,64alz,6 4 0 1/2,64QLZ,64012,64qlz,2,4
/kaggle/input/test-black/test_cleaned_black_resized/2n2it3lx-0.png,2n2it3lx,2N2IT3LX.,2N2IT3LX,2n2it3lx,2n2it3lx,8,8
/kaggle/input/test-black/test_cleaned_black_resized/tr5n-0.png,tr5n,2 TASN 1,TRSN,2tasn1,trsn,0,3
/kaggle/input/test-black/test_cleaned_black_resized/ysy3b-0.png,ysy3b,""" Y. & B. Y. 3. B.",1 1 1 3 6,yby3b,11136,4,1
/kaggle/input/test-black/test_cleaned_black_resized/aova-0.png,aova,a 0 v a,A0VA,a0va,a0va,3,3
/kaggle/input/test-black/test_cleaned_black_resized/zzs5bg-0.png,zzs5bg,22zzs sub-,229569,22zzssub,229569,0,1
/kaggle/input/test-black/test_cleaned_black_resized/adj6kf8-0.png,adj6kf8,2nd 8-th.,0J6KF6,2nd8th,0j6kf6,0,0
/kaggle/input/test-black/test_cleaned_black_resized/f73kv-0.png,f73kv,of 7. 3.k.v.,F 7 3 K W,of73kv,f73kw,0,4
/kaggle/input/test-black/test_cleaned_black_resized/kdghy-0.png,kdghy,# H.D.G.H.Y.,60&WJ,hdghy,60wj,4,0
/kaggle/input/test-black/test_cleaned_black_resized/u2fa-0.png,u2fa,6 2 1 0,0210,6210,0210,1,1
/kaggle/input/test-black/test_cleaned_black_resized/m9p8-0.png,m9p8,# Mr. 9.P.8.,M9P8,mr9p8,m9p8,1,4
/kaggle/input/test-black/test_cleaned_black_resized/i7hqc7-0.png,i7hqc7,i7hqc7 .,17HQC7,i7hqc7,17hqc7,6,5
/kaggle/input/test-black/test_cleaned_black_resized/q7u1e9-0.png,q7u1e9,Q 7 U 1E 9,Q 7 @ 1 E 9,q7u1e9,q71e9,6,2
/kaggle/input/test-black/test_cleaned_black_resized/sd2xyvxr-0.png,sd2xyvxr,s.D.2 x.y.U.X.R.,SD2XYUXR,sd2xyuxr,sd2xyuxr,7,7
/kaggle/input/test-black/test_cleaned_black_resized/3psc-0.png,3psc,3 P.S.C,3 P S C,3psc,3psc,4,4
/kaggle/input/test-black/test_cleaned_black_resized/4drah-0.png,4drah,one #P.P.E.A.H.,***,oneppeah,,0,0
/kaggle/input/test-black/test_cleaned_black_resized/4dxxn2-0.png,4dxxn2,4D.X.X.2.,4PX*M2,4dxx2,4pxm2,4,2
/kaggle/input/test-black/test_cleaned_black_resized/35av6-0.png,35av6,3. S.A.V.S.,3 5 A V 6,3savs,35av6,3,5
/kaggle/input/test-black/test_cleaned_black_resized/0chnm34-0.png,0chnm34,2 2 Bommay 0 1,8ON04,22bommay01,8on04,1,0
/kaggle/input/test-black/test_cleaned_black_resized/clsev-0.png,clsev,"2, closeover .",CL SED,2closeover,clsed,0,4
/kaggle/input/test-black/test_cleaned_black_resized/2y43vf-0.png,2y43vf,2 4 4 8.0.f.,QTY 4 & & A,24480f,qty4a,3,0
/kaggle/input/test-black/test_cleaned_black_resized/nq4a7mvu-0.png,nq4a7mvu,& Q.4 7. I.M.V.C.,1 0.4 + 1 M V =,q47imvc,1041mv,0,1
/kaggle/input/test-black/test_cleaned_black_resized/1u81r-0.png,1u81r,This article has multiple issues Please help improve it or discuss these issues on the talk page Learn how and,1 1 1 4 4,thisarticlehasmultipleissuespleasehelpimproveitordiscusstheseissuesonthetalkpagelearnhowand,11144,0,1
/kaggle/input/test-black/test_cleaned_black_resized/4rlub61-0.png,4rlub61,2 4th. West,4R 0061,24thwest,4r0061,0,2
/kaggle/input/test-black/test_cleaned_black_resized/a3am-0.png,a3am,# a 0 3.o in.,@3@MM,a03oin,3mm,1,0
/kaggle/input/test-black/test_cleaned_black_resized/8dz3-0.png,8dz3,. 8 d.z 3.,8 D Z 3,8dz3,8dz3,4,4
/kaggle/input/test-black/test_cleaned_black_resized/zeivut8-0.png,zeivut8,# Z.E. I.V.U.T.8.,ZEIVWT&,zeivut8,zeivwt,7,5
/kaggle/input/test-black/test_cleaned_black_resized/i23xg1a8-0.png,i23xg1a8,121234 978.,/20+0'08,121234978,20008,1,0
/kaggle/input/test-black/test_cleaned_black_resized/002e23-0.png,002e23,0 0 2 E. 3.,002E23,002e3,002e23,4,6
/kaggle/input/test-black/test_cleaned_black_resized/jflkkg-0.png,jflkkg,I ! I know #,1/1864,iiknow,11864,0,0
/kaggle/input/test-black/test_cleaned_black_resized/l4ig8-0.png,l4ig8,L 4.1G8,L 4 L G 8,l41g8,l4lg8,4,4
/kaggle/input/test-black/test_cleaned_black_resized/mpf8iasl-0.png,mpf8iasl,W.S.S.B. ) -5 !,# + + 1 1 - 5 1,wssb5,1151,0,0
/kaggle/input/test-black/test_cleaned_black_resized/imr5u172-0.png,imr5u172,""" M.P.S.U.T.T.2",/ M @ 5 0 1 1 2,mpsutt2,m50112,0,0
/kaggle/input/test-black/test_cleaned_black_resized/m3mc3hu-0.png,m3mc3hu,# MZMCZHU.,M3ME3KU,mzmczhu,m3me3ku,5,5
/kaggle/input/test-black/test_cleaned_black_resized/eznvbmw-0.png,eznvbmw,e z in v. b.m.w.,E Z N V B M W,ezinvbmw,eznvbmw,2,7
/kaggle/input/test-black/test_cleaned_black_resized/j75a0u-0.png,j75a0u,. J25POU.,J>5.00,j25pou,j500,3,1
/kaggle/input/test-black/test_cleaned_black_resized/hc8jk3-0.png,hc8jk3,# H.C8 JK.3.,#(8)K3,hc8jk3,8k3,6,0
/kaggle/input/test-black/test_cleaned_black_resized/0favtnx-0.png,0favtnx,5. OF A V.T.NX.,OFANTNX,5ofavtnx,ofantnx,0,5
/kaggle/input/test-black/test_cleaned_black_resized/cuygj9-0.png,cuygj9,""" NEW YORK Your Jersey",[ V Y @ J P,newyorkyourjersey,vyjp,0,0
/kaggle/input/test-black/test_cleaned_black_resized/wmzfebyg-0.png,wmzfebyg,# wmzfebyg .,WMZFEBYG,wmzfebyg,wmzfebyg,8,8
/kaggle/input/test-black/test_cleaned_black_resized/hagreh-0.png,hagreh,h a g.r.e.h.,HA 9 R E H,hagreh,ha9reh,6,5
/kaggle/input/test-black/test_cleaned_black_resized/71uitis-0.png,71uitis,7 1 U.I T.I.S.S,71UITIS,71uitiss,71uitis,7,7
/kaggle/input/test-black/test_cleaned_black_resized/u22w-0.png,u22w,25 Sep 1951,SRW,25sep1951,srw,0,0
/kaggle/input/test-black/test_cleaned_black_resized/pkw2wx6n-0.png,pkw2wx6n,p. K.W.2 W.X6N.,PKW2WX6N,pkw2wx6n,pkw2wx6n,8,8
/kaggle/input/test-black/test_cleaned_black_resized/eq9vn3-0.png,eq9vn3,e. Q. 9. Y.N. 3,EQ BY NO,eq9yn3,eqbyno,5,3
/kaggle/input/test-black/test_cleaned_black_resized/na3ys44w-0.png,na3ys44w,n a 3 y s 4 4 w.,NA3YS44W,na3ys44w,na3ys44w,8,8
/kaggle/input/test-black/test_cleaned_black_resized/wm23u-0.png,wm23u,""" Why . U.",NA.U,whyu,nau,1,0
/kaggle/input/test-black/test_cleaned_black_resized/inrjbf6-0.png,inrjbf6,I N R. J.B.F.S.,INRJ@F5,inrjbfs,inrjf5,6,4
/kaggle/input/test-black/test_cleaned_black_resized/ciixax-0.png,ciixax,EC 2 1/ 1/ 1/ 1/ 1. 1. 1. 1. X.,CHIXAX,ec211111111x,chixax,0,5
/kaggle/input/test-black/test_cleaned_black_resized/a7hna-0.png,a7hna,. a 7th.n.a.,87668,a7thna,87668,2,1
/kaggle/input/test-black/test_cleaned_black_resized/tw1svg-0.png,tw1svg,t w.1s v.g.,TW1S VG,tw1svg,tw1svg,6,6
/kaggle/input/test-black/test_cleaned_black_resized/vecqb-0.png,vecqb,# We find it,VPC46,wefindit,vpc46,1,2
/kaggle/input/test-black/test_cleaned_black_resized/ppsxh90-0.png,ppsxh90,P P.S X.H.O,PPSXH90,ppsxho,ppsxh90,5,7
/kaggle/input/test-black/test_cleaned_black_resized/zjalw-0.png,zjalw,z.z.z a.l w.,ZJALW,zzzalw,zjalw,1,5
/kaggle/input/test-black/test_cleaned_black_resized/hy850xk1-0.png,hy850xk1,HY850XXI.,HY850XKI,hy850xxi,hy850xki,6,7
/kaggle/input/test-black/test_cleaned_black_resized/p5w9vz2l-0.png,p5w9vz2l,P. W.V.2 W.,P W V2 V,pwv2w,pwv2v,1,2
/kaggle/input/test-black/test_cleaned_black_resized/qq1o4o-0.png,qq1o4o,m. 7 1 m. 4.,9 9 1 0 4,m71m4,99104,2,2
/kaggle/input/test-black/test_cleaned_black_resized/845ios-0.png,845ios,2 845ios .,845IES,2845ios,845ies,0,5
/kaggle/input/test-black/test_cleaned_black_resized/8vks9h-0.png,8vks9h,B. U.H.S.P.IT,BU RS4H,buhspit,burs4h,1,2
/kaggle/input/test-black/test_cleaned_black_resized/66qv60-0.png,66qv60,E.F.C. 1E.D,65 *,efc1ed,65,0,1
/kaggle/input/test-black/test_cleaned_black_resized/jhxgb3-0.png,jhxgb3,""" ) if it.n.x.QB b.3.",TAX4b3,ifitnxqbb3,tax4b3,0,3
/kaggle/input/test-black/test_cleaned_black_resized/vgiqt-0.png,vgiqt,# not be a bit of the potential of the,VQLQL,notbeabitofthepotentialofthe,vqlql,0,2
/kaggle/input/test-black/test_cleaned_black_resized/i1yipm08-0.png,i1yipm08,I'll I'll Take Your Family,11 Y L P M 0 8,illilltakeyourfamily,11ylpm08,2,6
/kaggle/input/test-black/test_cleaned_black_resized/ncawwh-0.png,ncawwh,W.S.S W.S.,#*1171,wssws,1171,1,0
/kaggle/input/test-black/test_cleaned_black_resized/z2m7-0.png,z2m7,oz 2m.,Z 2 M 7,oz2m,z2m7,0,4
/kaggle/input/test-black/test_cleaned_black_resized/rk5tu-0.png,rk5tu,. m.k.S.r.a.,-KST4,mksra,kst4,1,0
/kaggle/input/test-black/test_cleaned_black_resized/wvnwm-0.png,wvnwm,# any in the eye .,NYNM,anyintheeye,nynm,0,1
/kaggle/input/test-black/test_cleaned_black_resized/cwaqxmf-0.png,cwaqxmf,cwaqxmf .,CWAQXMF,cwaqxmf,cwaqxmf,7,7
/kaggle/input/test-black/test_cleaned_black_resized/7y05t-0.png,7y05t,2 7yo5t.,7Y05T,27yo5t,7y05t,0,5
/kaggle/input/test-black/test_cleaned_black_resized/w15fnfz7-0.png,w15fnfz7,W.1 S.F.N.F.Z.7,W15FNFZ7,w1sfnfz7,w15fnfz7,7,8
/kaggle/input/test-black/test_cleaned_black_resized/24y0s85-0.png,24y0s85,24 yots 85,PAY0565,24yots85,pay0565,3,3
/kaggle/input/test-black/test_cleaned_black_resized/hvk6-0.png,hvk6,H V.r.r.r.r.e.,H V K 5,hvrrrre,hvk5,2,3
/kaggle/input/test-black/test_cleaned_black_resized/e72avg8-0.png,e72avg8,e. 7.2 A.C.B.,E 7 2 A V G 8,e72acb,e72avg8,4,7
/kaggle/input/test-black/test_cleaned_black_resized/k11b-0.png,k11b,ask 1 1th.,K11B,ask11th,k11b,0,4
