captcha_text,chr_acc_beam_1,chr_acc_beam_2,chr_acc_beam_3,chr_acc_beam_4,chr_acc_beam_5,filename,med_b1,med_b2,med_b3,med_b4,med_b5,predicted_beam_1,predicted_beam_2,predicted_beam_3,predicted_beam_4,predicted_beam_5
8fa95b,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/8fa95b-0.png,1.0,1.0,1.0,1.0,1.0,8fa95b,8fa95b,8fa95b,8fa95b,8fa95b
qxi5i9w1,8,8,8,8,8,/kaggle/input/test-colour/test_cleaned_color_resized/qxi5i9w1-0.png,1.0,1.0,1.0,1.0,1.0,qxi5i9w1,qxi5i9w1,qxi5i9w1,qxi5i9w1,qxi5i9w1
wcgxtu6,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/wcgxtu6-0.png,1.0,1.0,1.0,1.0,1.0,wcgxtu6,wcgxtu6,wcgxtu6,wcgxtu6,wcgxtu6
e6pbcz1k,8,8,8,8,8,/kaggle/input/test-colour/test_cleaned_color_resized/e6pbcz1k-0.png,1.0,1.0,1.0,1.0,1.0,e6pbcz1k,e6pbcz1k,e6pbcz1k,e6pbcz1k,e6pbcz1k
89uxia,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/89uxia-0.png,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,89uxj8,89uxj8,89uxj8,89uxj8,89uxj8
uewr,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/uewr-0.png,1.0,1.0,1.0,1.0,1.0,uewr,uewr,uewr,uewr,uewr
dxyz,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/dxyz-0.png,1.0,1.0,1.0,1.0,1.0,dxyz,dxyz,dxyz,dxyz,dxyz
gdg7h,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/gdg7h-0.png,0.8,0.8,0.8,0.8,0.8,gd97h,gd97h,gd97h,gd97h,gd97h
ermoo4,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/ermoo4-0.png,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,etmoo4,etmoo4,etmoo4,etmoo4,etmoo4
qkcc0kg0,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/qkcc0kg0-0.png,0.625,0.625,0.625,0.625,0.625,okccokgo,okccokgo,okccokgo,okccokgo,okccokgo
a05d1v,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/a05d1v-0.png,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,a05djv,a05djv,a05djv,a05djv,a05djv
lgk7dl,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/lgk7dl-0.png,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1gk7dl,1gk7dl,1gk7dl,1gk7dl,1gk7dl
2cteaog,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/2cteaog-0.png,1.0,1.0,1.0,1.0,1.0,2cteaog,2cteaog,2cteaog,2cteaog,2cteaog
jmike663,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/jmike663-0.png,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,jmjkz66g3,jmjkz66g3,jmjkz66g3,jmjkz66g3,jmjkz66g3
4ll943lc,8,8,8,8,8,/kaggle/input/test-colour/test_cleaned_color_resized/4ll943lc-0.png,1.0,1.0,1.0,1.0,1.0,4ll943lc,4ll943lc,4ll943lc,4ll943lc,4ll943lc
4mby0ex,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/4mby0ex-0.png,1.0,1.0,1.0,1.0,1.0,4mby0ex,4mby0ex,4mby0ex,4mby0ex,4mby0ex
0wcz1w,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/0wcz1w-0.png,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,owcz7w,owcz7w,owcz7w,owcz7w,owcz7w
57z6amy5,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/57z6amy5-0.png,0.875,0.875,0.875,0.875,0.875,57z6amv5,57z6amv5,57z6amv5,57z6amv5,57z6amv5
a7boq,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/a7boq-0.png,1.0,1.0,1.0,1.0,1.0,a7boq,a7boq,a7boq,a7boq,a7boq
h0n14,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/h0n14-0.png,1.0,1.0,1.0,1.0,1.0,h0n14,h0n14,h0n14,h0n14,h0n14
1awqu,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/1awqu-0.png,1.0,1.0,1.0,1.0,1.0,1awqu,1awqu,1awqu,1awqu,1awqu
438j245,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/438j245-0.png,1.0,1.0,1.0,1.0,1.0,438j245,438j245,438j245,438j245,438j245
9roi,3,3,3,3,3,/kaggle/input/test-colour/test_cleaned_color_resized/9roi-0.png,0.75,0.75,0.75,0.75,0.75,9roj,9roj,9roj,9roj,9roj
5bv9m,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/5bv9m-0.png,1.0,1.0,1.0,1.0,1.0,5bv9m,5bv9m,5bv9m,5bv9m,5bv9m
stl4xtj,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/stl4xtj-0.png,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,5tl4xtj,5tl4xtj,5tl4xtj,5tl4xtj,5tl4xtj
ajst,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/ajst-0.png,1.0,1.0,1.0,1.0,1.0,ajst,ajst,ajst,ajst,ajst
ojfqa585,6,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/ojfqa585-0.png,0.75,0.625,0.625,0.625,0.625,ojfqq58s,0jfqq58s,0jfqq58s,0jfqq58s,0jfqq58s
dp8vc,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/dp8vc-0.png,1.0,1.0,1.0,1.0,1.0,dp8vc,dp8vc,dp8vc,dp8vc,dp8vc
13be3kf,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/13be3kf-0.png,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,l3be3kf,l3be3kf,l3be3kf,l3be3kf,l3be3kf
vq3ft7f,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/vq3ft7f-0.png,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,vq3f17f,vq3f17f,vq3f17f,vq3f17f,vq3f17f
u1rfaq41,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/u1rfaq41-0.png,0.875,0.875,0.875,0.875,0.875,u1rfag41,u1rfag41,u1rfag41,u1rfag41,u1rfag41
qwqwkv,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/qwqwkv-0.png,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,owowkv,owowkv,owowkv,owowkv,owowkv
b359qg64,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/b359qg64-0.png,0.875,0.875,0.875,0.875,0.875,b379qg64,b379qg64,b379qg64,b379qg64,b379qg64
xl9a2fm,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/xl9a2fm-0.png,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,xc9a2fm,xc9a2fm,xc9a2fm,xc9a2fm,xc9a2fm
lhuttfhn,8,8,8,8,8,/kaggle/input/test-colour/test_cleaned_color_resized/lhuttfhn-0.png,1.0,1.0,1.0,1.0,1.0,lhuttfhn,lhuttfhn,lhuttfhn,lhuttfhn,lhuttfhn
ksdwylp5,8,8,8,8,8,/kaggle/input/test-colour/test_cleaned_color_resized/ksdwylp5-0.png,1.0,1.0,1.0,1.0,1.0,ksdwylp5,ksdwylp5,ksdwylp5,ksdwylp5,ksdwylp5
h4titb0,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/h4titb0-0.png,1.0,1.0,1.0,1.0,1.0,h4titb0,h4titb0,h4titb0,h4titb0,h4titb0
god2llyl,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/god2llyl-0.png,0.875,0.875,0.875,0.875,0.875,godllyl,godllyl,godllyl,godllyl,godllyl
fuk189,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/fuk189-0.png,1.0,1.0,1.0,1.0,1.0,fuk189,fuk189,fuk189,fuk189,fuk189
ukpaowzr,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/ukpaowzr-0.png,0.875,0.875,0.875,0.875,0.875,ukpnowzr,ukpnowzr,ukpnowzr,ukpnowzr,ukpnowzr
6nez,3,3,3,3,3,/kaggle/input/test-colour/test_cleaned_color_resized/6nez-0.png,0.75,0.75,0.75,0.75,0.75,6ne7,6ne7,6ne7,6ne7,6ne7
stn8,3,3,3,3,3,/kaggle/input/test-colour/test_cleaned_color_resized/stn8-0.png,0.75,0.75,0.75,0.75,0.75,s1n8,s1n8,s1n8,s1n8,s1n8
1ulul,2,2,2,2,2,/kaggle/input/test-colour/test_cleaned_color_resized/1ulul-0.png,0.4,0.4,0.4,0.4,0.4,7ulv1,7ulv1,7ulv1,7ulv1,7ulv1
69a27m,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/69a27m-0.png,1.0,1.0,1.0,1.0,1.0,69a27m,69a27m,69a27m,69a27m,69a27m
knlb9c,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/knlb9c-0.png,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,knlb9o,knlb9o,knlb9o,knlb9o,knlb9o
5u24m,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/5u24m-0.png,0.8,0.8,0.8,0.8,0.8,su24m,su24m,su24m,su24m,su24m
y6ench2,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/y6ench2-0.png,1.0,1.0,1.0,1.0,1.0,y6ench2,y6ench2,y6ench2,y6ench2,y6ench2
5bsl06,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/5bsl06-0.png,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,5bs7q6,5bs7q6,5bs7q6,5bs7q6,5bs7q6
xmur,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/xmur-0.png,0.8,0.8,0.8,0.8,0.8,xmurr,xmurr,xmurr,xmurr,xmurr
syb3dfe2,8,8,8,8,8,/kaggle/input/test-colour/test_cleaned_color_resized/syb3dfe2-0.png,1.0,1.0,1.0,1.0,1.0,syb3dfe2,syb3dfe2,syb3dfe2,syb3dfe2,syb3dfe2
nbeije33,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/nbeije33-0.png,0.875,0.875,0.875,0.875,0.875,nbelje33,nbelje33,nbelje33,nbelje33,nbelje33
1ku9bzoy,8,8,8,8,8,/kaggle/input/test-colour/test_cleaned_color_resized/1ku9bzoy-0.png,1.0,1.0,1.0,1.0,1.0,1ku9bzoy,1ku9bzoy,1ku9bzoy,1ku9bzoy,1ku9bzoy
lua1s3c,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/lua1s3c-0.png,1.0,1.0,1.0,1.0,1.0,lua1s3c,lua1s3c,lua1s3c,lua1s3c,lua1s3c
9q8et,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/9q8et-0.png,1.0,1.0,1.0,1.0,1.0,9q8et,9q8et,9q8et,9q8et,9q8et
ndtfd,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/ndtfd-0.png,1.0,1.0,1.0,1.0,1.0,ndtfd,ndtfd,ndtfd,ndtfd,ndtfd
7iiyi4h,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/7iiyi4h-0.png,1.0,1.0,1.0,1.0,1.0,7iiyi4h,7iiyi4h,7iiyi4h,7iiyi4h,7iiyi4h
sryx,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/sryx-0.png,1.0,1.0,1.0,1.0,1.0,sryx,sryx,sryx,sryx,sryx
mmzyf57,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/mmzyf57-0.png,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,mmzyfs7,mmzyfs7,mmzyfs7,mmzyfs7,mmzyfs7
2iulzl,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/2iulzl-0.png,1.0,1.0,1.0,1.0,1.0,2iulzl,2iulzl,2iulzl,2iulzl,2iulzl
d9bb,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/d9bb-0.png,1.0,1.0,1.0,1.0,1.0,d9bb,d9bb,d9bb,d9bb,d9bb
9vvf,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/9vvf-0.png,1.0,1.0,1.0,1.0,1.0,9vvf,9vvf,9vvf,9vvf,9vvf
nqvdi,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/nqvdi-0.png,1.0,1.0,1.0,1.0,1.0,nqvdi,nqvdi,nqvdi,nqvdi,nqvdi
cxttv,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/cxttv-0.png,0.8,0.8,0.8,0.8,0.8,cxtty,cxtty,cxtty,cxtty,cxtty
847n4v,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/847n4v-0.png,1.0,1.0,1.0,1.0,1.0,847n4v,847n4v,847n4v,847n4v,847n4v
aiu0q3n5,8,8,8,8,8,/kaggle/input/test-colour/test_cleaned_color_resized/aiu0q3n5-0.png,1.0,1.0,1.0,1.0,1.0,aiu0q3n5,aiu0q3n5,aiu0q3n5,aiu0q3n5,aiu0q3n5
ngqm,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/ngqm-0.png,1.0,1.0,1.0,1.0,1.0,ngqm,ngqm,ngqm,ngqm,ngqm
rgmvx,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/rgmvx-0.png,1.0,1.0,1.0,1.0,1.0,rgmvx,rgmvx,rgmvx,rgmvx,rgmvx
szbx,3,3,3,3,3,/kaggle/input/test-colour/test_cleaned_color_resized/szbx-0.png,0.75,0.75,0.75,0.75,0.75,5zbx,5zbx,5zbx,5zbx,5zbx
qjx5x94,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/qjx5x94-0.png,1.0,1.0,1.0,1.0,1.0,qjx5x94,qjx5x94,qjx5x94,qjx5x94,qjx5x94
rpprfe,4,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/rpprfe-0.png,0.6666666666666667,1.0,1.0,1.0,1.0,rprrf,rpprfe,rpprfe,rpprfe,rpprfe
pocoyl,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/pocoyl-0.png,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,p0coyl,p0coyl,p0coyl,p0coyl,p0coyl
gzwi3,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/gzwi3-0.png,1.0,1.0,1.0,1.0,1.0,gzwi3,gzwi3,gzwi3,gzwi3,gzwi3
ambcqo,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/ambcqo-0.png,1.0,1.0,1.0,1.0,1.0,ambcqo,ambcqo,ambcqo,ambcqo,ambcqo
2sxkz2vj,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/2sxkz2vj-0.png,0.875,0.875,0.875,0.875,0.875,2sxkz2uj,2sxkz2uj,2sxkz2uj,2sxkz2uj,2sxkz2uj
6ip3gj8w,8,8,8,8,8,/kaggle/input/test-colour/test_cleaned_color_resized/6ip3gj8w-0.png,1.0,1.0,1.0,1.0,1.0,6ip3gj8w,6ip3gj8w,6ip3gj8w,6ip3gj8w,6ip3gj8w
ac0k2ac,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/ac0k2ac-0.png,1.0,1.0,1.0,1.0,1.0,ac0k2ac,ac0k2ac,ac0k2ac,ac0k2ac,ac0k2ac
9e1e5t3,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/9e1e5t3-0.png,1.0,1.0,1.0,1.0,1.0,9e1e5t3,9e1e5t3,9e1e5t3,9e1e5t3,9e1e5t3
k070g5pe,8,8,8,8,8,/kaggle/input/test-colour/test_cleaned_color_resized/k070g5pe-0.png,1.0,1.0,1.0,1.0,1.0,k070g5pe,k070g5pe,k070g5pe,k070g5pe,k070g5pe
qgdi29qt,8,8,8,8,8,/kaggle/input/test-colour/test_cleaned_color_resized/qgdi29qt-0.png,1.0,1.0,1.0,1.0,1.0,qgdi29qt,qgdi29qt,qgdi29qt,qgdi29qt,qgdi29qt
sojq,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/sojq-0.png,1.0,1.0,1.0,1.0,1.0,sojq,sojq,sojq,sojq,sojq
3w4cxb4,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/3w4cxb4-0.png,1.0,1.0,1.0,1.0,1.0,3w4cxb4,3w4cxb4,3w4cxb4,3w4cxb4,3w4cxb4
64alz,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/64alz-0.png,1.0,1.0,1.0,1.0,1.0,64alz,64alz,64alz,64alz,64alz
2n2it3lx,8,8,8,8,8,/kaggle/input/test-colour/test_cleaned_color_resized/2n2it3lx-0.png,1.0,1.0,1.0,1.0,1.0,2n2it3lx,2n2it3lx,2n2it3lx,2n2it3lx,2n2it3lx
tr5n,3,3,3,3,3,/kaggle/input/test-colour/test_cleaned_color_resized/tr5n-0.png,0.75,0.75,0.75,0.75,0.75,trsn,trsn,trsn,trsn,trsn
ysy3b,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/ysy3b-0.png,1.0,1.0,1.0,1.0,1.0,ysy3b,ysy3b,ysy3b,ysy3b,ysy3b
aova,3,3,3,3,3,/kaggle/input/test-colour/test_cleaned_color_resized/aova-0.png,0.75,0.75,0.75,0.75,0.75,a0va,a0va,a0va,a0va,a0va
zzs5bg,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/zzs5bg-0.png,1.0,1.0,1.0,1.0,1.0,zzs5bg,zzs5bg,zzs5bg,zzs5bg,zzs5bg
adj6kf8,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/adj6kf8-0.png,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,aj6kf8,aj6kf8,aj6kf8,aj6kf8,aj6kf8
f73kv,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/f73kv-0.png,1.0,1.0,1.0,1.0,1.0,f73kv,f73kv,f73kv,f73kv,f73kv
kdghy,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/kdghy-0.png,1.0,1.0,1.0,1.0,1.0,kdghy,kdghy,kdghy,kdghy,kdghy
u2fa,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/u2fa-0.png,1.0,1.0,1.0,1.0,1.0,u2fa,u2fa,u2fa,u2fa,u2fa
m9p8,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/m9p8-0.png,1.0,1.0,1.0,1.0,1.0,m9p8,m9p8,m9p8,m9p8,m9p8
i7hqc7,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/i7hqc7-0.png,1.0,1.0,1.0,1.0,1.0,i7hqc7,i7hqc7,i7hqc7,i7hqc7,i7hqc7
q7u1e9,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/q7u1e9-0.png,1.0,1.0,1.0,1.0,1.0,q7u1e9,q7u1e9,q7u1e9,q7u1e9,q7u1e9
sd2xyvxr,7,7,7,7,7,/kaggle/input/test-colour/test_cleaned_color_resized/sd2xyvxr-0.png,0.875,0.875,0.875,0.875,0.875,sd2xyuxr,sd2xyuxr,sd2xyuxr,sd2xyuxr,sd2xyuxr
3psc,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/3psc-0.png,1.0,1.0,1.0,1.0,1.0,3psc,3psc,3psc,3psc,3psc
4drah,4,4,4,4,4,/kaggle/input/test-colour/test_cleaned_color_resized/4drah-0.png,0.8,0.8,0.8,0.8,0.8,4prah,4prah,4prah,4prah,4prah
4dxxn2,6,6,6,6,6,/kaggle/input/test-colour/test_cleaned_color_resized/4dxxn2-0.png,1.0,1.0,1.0,1.0,1.0,4dxxn2,4dxxn2,4dxxn2,4dxxn2,4dxxn2
35av6,5,5,5,5,5,/kaggle/input/test-colour/test_cleaned_color_resized/35av6-0.png,1.0,1.0,1.0,1.0,1.0,35av6,35av6,35av6,35av6,35av6
