captcha_text,chr_acc_beam_1,filename,med_b1,predicted_beam_1
58vxyzo,6,/kaggle/input/test-colour/test_cleaned_color_resized/58vxyzo-0.png,0.8571428571428572,58vxyzq
vqf8,4,/kaggle/input/test-colour/test_cleaned_color_resized/vqf8-0.png,1.0,vqf8
sgwdjb,6,/kaggle/input/test-colour/test_cleaned_color_resized/sgwdjb-0.png,1.0,sgwdjb
98en60a,7,/kaggle/input/test-colour/test_cleaned_color_resized/98en60a-0.png,1.0,98en60a
nih4y1e,3,/kaggle/input/test-colour/test_cleaned_color_resized/nih4y1e-0.png,0.375,n1hdv7fe
8fa95b,6,/kaggle/input/test-colour/test_cleaned_color_resized/8fa95b-0.png,1.0,8fa95b
qxi5i9w1,6,/kaggle/input/test-colour/test_cleaned_color_resized/qxi5i9w1-0.png,0.75,qx1519w1
wcgxtu6,7,/kaggle/input/test-colour/test_cleaned_color_resized/wcgxtu6-0.png,1.0,wcgxtu6
e6pbcz1k,6,/kaggle/input/test-colour/test_cleaned_color_resized/e6pbcz1k-0.png,0.75,ebbcz1k
89uxia,3,/kaggle/input/test-colour/test_cleaned_color_resized/89uxia-0.png,0.5,8guxj3
uewr,4,/kaggle/input/test-colour/test_cleaned_color_resized/uewr-0.png,1.0,uewr
dxyz,4,/kaggle/input/test-colour/test_cleaned_color_resized/dxyz-0.png,1.0,dxyz
gdg7h,3,/kaggle/input/test-colour/test_cleaned_color_resized/gdg7h-0.png,0.6,9d97h
ermoo4,3,/kaggle/input/test-colour/test_cleaned_color_resized/ermoo4-0.png,0.4285714285714286,etm00a4
qkcc0kg0,5,/kaggle/input/test-colour/test_cleaned_color_resized/qkcc0kg0-0.png,0.625,qccokg
a05d1v,4,/kaggle/input/test-colour/test_cleaned_color_resized/a05d1v-0.png,0.6666666666666667,3o5d1v
lgk7dl,4,/kaggle/input/test-colour/test_cleaned_color_resized/lgk7dl-0.png,0.6666666666666667,1gk7d1
2cteaog,7,/kaggle/input/test-colour/test_cleaned_color_resized/2cteaog-0.png,0.875,2cteeaog
jmike663,6,/kaggle/input/test-colour/test_cleaned_color_resized/jmike663-0.png,0.75,jmix6663
4ll943lc,5,/kaggle/input/test-colour/test_cleaned_color_resized/4ll943lc-0.png,0.625,4l9t3l
4mby0ex,7,/kaggle/input/test-colour/test_cleaned_color_resized/4mby0ex-0.png,1.0,4mby0ex
0wcz1w,4,/kaggle/input/test-colour/test_cleaned_color_resized/0wcz1w-0.png,0.6666666666666667,owcz7w
57z6amy5,6,/kaggle/input/test-colour/test_cleaned_color_resized/57z6amy5-0.png,0.75,s7z6am45
a7boq,3,/kaggle/input/test-colour/test_cleaned_color_resized/a7boq-0.png,0.5,a7880q
h0n14,4,/kaggle/input/test-colour/test_cleaned_color_resized/h0n14-0.png,0.8,h0k14
1awqu,5,/kaggle/input/test-colour/test_cleaned_color_resized/1awqu-0.png,1.0,1awqu
438j245,7,/kaggle/input/test-colour/test_cleaned_color_resized/438j245-0.png,1.0,438j245
9roi,3,/kaggle/input/test-colour/test_cleaned_color_resized/9roi-0.png,0.75,9roj
5bv9m,5,/kaggle/input/test-colour/test_cleaned_color_resized/5bv9m-0.png,1.0,5bv9m
stl4xtj,6,/kaggle/input/test-colour/test_cleaned_color_resized/stl4xtj-0.png,0.8571428571428572,st14xtj
ajst,3,/kaggle/input/test-colour/test_cleaned_color_resized/ajst-0.png,0.75,ajs1
ojfqa585,7,/kaggle/input/test-colour/test_cleaned_color_resized/ojfqa585-0.png,0.7,ojfqqqas85
dp8vc,5,/kaggle/input/test-colour/test_cleaned_color_resized/dp8vc-0.png,1.0,dp8vc
13be3kf,6,/kaggle/input/test-colour/test_cleaned_color_resized/13be3kf-0.png,0.8571428571428572,l3be3kf
vq3ft7f,6,/kaggle/input/test-colour/test_cleaned_color_resized/vq3ft7f-0.png,0.8571428571428572,vq3ff7f
u1rfaq41,8,/kaggle/input/test-colour/test_cleaned_color_resized/u1rfaq41-0.png,1.0,u1rfaq41
qwqwkv,3,/kaggle/input/test-colour/test_cleaned_color_resized/qwqwkv-0.png,0.5,duowkv
b359qg64,6,/kaggle/input/test-colour/test_cleaned_color_resized/b359qg64-0.png,0.75,b359gg6y
xl9a2fm,4,/kaggle/input/test-colour/test_cleaned_color_resized/xl9a2fm-0.png,0.5714285714285714,xiqq2fm
lhuttfhn,7,/kaggle/input/test-colour/test_cleaned_color_resized/lhuttfhn-0.png,0.875,lhuttkhn
ksdwylp5,8,/kaggle/input/test-colour/test_cleaned_color_resized/ksdwylp5-0.png,0.8888888888888888,ksdwyplp5
h4titb0,4,/kaggle/input/test-colour/test_cleaned_color_resized/h4titb0-0.png,0.4285714285714286,h4thi
god2llyl,6,/kaggle/input/test-colour/test_cleaned_color_resized/god2llyl-0.png,0.75,godjlyl
fuk189,4,/kaggle/input/test-colour/test_cleaned_color_resized/fuk189-0.png,0.6666666666666667,fuk78q
ukpaowzr,8,/kaggle/input/test-colour/test_cleaned_color_resized/ukpaowzr-0.png,0.47058823529411764,ukpqqqqqaowzzzzzr
6nez,3,/kaggle/input/test-colour/test_cleaned_color_resized/6nez-0.png,0.75,6ne7
stn8,2,/kaggle/input/test-colour/test_cleaned_color_resized/stn8-0.png,0.5,s1x8
1ulul,4,/kaggle/input/test-colour/test_cleaned_color_resized/1ulul-0.png,0.8,7ulul
69a27m,6,/kaggle/input/test-colour/test_cleaned_color_resized/69a27m-0.png,1.0,69a27m
knlb9c,5,/kaggle/input/test-colour/test_cleaned_color_resized/knlb9c-0.png,0.8333333333333334,knlb9a
5u24m,4,/kaggle/input/test-colour/test_cleaned_color_resized/5u24m-0.png,0.8,su24m
y6ench2,7,/kaggle/input/test-colour/test_cleaned_color_resized/y6ench2-0.png,1.0,y6ench2
5bsl06,5,/kaggle/input/test-colour/test_cleaned_color_resized/5bsl06-0.png,0.8333333333333334,5bsj06
xmur,3,/kaggle/input/test-colour/test_cleaned_color_resized/xmur-0.png,0.75,xqur
syb3dfe2,6,/kaggle/input/test-colour/test_cleaned_color_resized/syb3dfe2-0.png,0.75,syb3of2
nbeije33,6,/kaggle/input/test-colour/test_cleaned_color_resized/nbeije33-0.png,0.6666666666666667,xbeelje33
1ku9bzoy,7,/kaggle/input/test-colour/test_cleaned_color_resized/1ku9bzoy-0.png,0.875,7ku9bzoy
lua1s3c,6,/kaggle/input/test-colour/test_cleaned_color_resized/lua1s3c-0.png,0.8571428571428572,lu1s3c
9q8et,5,/kaggle/input/test-colour/test_cleaned_color_resized/9q8et-0.png,1.0,9q8et
ndtfd,4,/kaggle/input/test-colour/test_cleaned_color_resized/ndtfd-0.png,0.8,ndtfp
7iiyi4h,5,/kaggle/input/test-colour/test_cleaned_color_resized/7iiyi4h-0.png,0.7142857142857143,7ity14h
sryx,4,/kaggle/input/test-colour/test_cleaned_color_resized/sryx-0.png,1.0,sryx
mmzyf57,4,/kaggle/input/test-colour/test_cleaned_color_resized/mmzyf57-0.png,0.5714285714285714,m7zyts7
2iulzl,4,/kaggle/input/test-colour/test_cleaned_color_resized/2iulzl-0.png,0.6666666666666667,21ul2l
d9bb,4,/kaggle/input/test-colour/test_cleaned_color_resized/d9bb-0.png,1.0,d9bb
9vvf,2,/kaggle/input/test-colour/test_cleaned_color_resized/9vvf-0.png,0.5,9uuf
nqvdi,4,/kaggle/input/test-colour/test_cleaned_color_resized/nqvdi-0.png,0.8,nqvd1
cxttv,2,/kaggle/input/test-colour/test_cleaned_color_resized/cxttv-0.png,0.4,ck7ty
847n4v,6,/kaggle/input/test-colour/test_cleaned_color_resized/847n4v-0.png,1.0,847n4v
aiu0q3n5,7,/kaggle/input/test-colour/test_cleaned_color_resized/aiu0q3n5-0.png,0.875,aju0q3n5
ngqm,3,/kaggle/input/test-colour/test_cleaned_color_resized/ngqm-0.png,0.75,nqm
rgmvx,5,/kaggle/input/test-colour/test_cleaned_color_resized/rgmvx-0.png,1.0,rgmvx
szbx,3,/kaggle/input/test-colour/test_cleaned_color_resized/szbx-0.png,0.75,5zbx
qjx5x94,7,/kaggle/input/test-colour/test_cleaned_color_resized/qjx5x94-0.png,1.0,qjx5x94
rpprfe,6,/kaggle/input/test-colour/test_cleaned_color_resized/rpprfe-0.png,1.0,rpprfe
pocoyl,6,/kaggle/input/test-colour/test_cleaned_color_resized/pocoyl-0.png,0.5454545454545454,pocoyyyyyyl
gzwi3,3,/kaggle/input/test-colour/test_cleaned_color_resized/gzwi3-0.png,0.6,9zw13
ambcqo,6,/kaggle/input/test-colour/test_cleaned_color_resized/ambcqo-0.png,1.0,ambcqo
2sxkz2vj,6,/kaggle/input/test-colour/test_cleaned_color_resized/2sxkz2vj-0.png,0.75,2sxxz2wj
6ip3gj8w,8,/kaggle/input/test-colour/test_cleaned_color_resized/6ip3gj8w-0.png,1.0,6ip3gj8w
ac0k2ac,7,/kaggle/input/test-colour/test_cleaned_color_resized/ac0k2ac-0.png,1.0,ac0k2ac
9e1e5t3,6,/kaggle/input/test-colour/test_cleaned_color_resized/9e1e5t3-0.png,0.8571428571428572,9e7e5t3
k070g5pe,7,/kaggle/input/test-colour/test_cleaned_color_resized/k070g5pe-0.png,0.875,k07og5pe
qgdi29qt,7,/kaggle/input/test-colour/test_cleaned_color_resized/qgdi29qt-0.png,0.7777777777777778,qgdj229qt
sojq,4,/kaggle/input/test-colour/test_cleaned_color_resized/sojq-0.png,1.0,sojq
3w4cxb4,7,/kaggle/input/test-colour/test_cleaned_color_resized/3w4cxb4-0.png,1.0,3w4cxb4
64alz,5,/kaggle/input/test-colour/test_cleaned_color_resized/64alz-0.png,1.0,64alz
2n2it3lx,7,/kaggle/input/test-colour/test_cleaned_color_resized/2n2it3lx-0.png,0.875,2n2it3l
tr5n,3,/kaggle/input/test-colour/test_cleaned_color_resized/tr5n-0.png,0.75,trsn
ysy3b,4,/kaggle/input/test-colour/test_cleaned_color_resized/ysy3b-0.png,0.8,ysy38
aova,3,/kaggle/input/test-colour/test_cleaned_color_resized/aova-0.png,0.75,a0va
zzs5bg,5,/kaggle/input/test-colour/test_cleaned_color_resized/zzs5bg-0.png,0.8333333333333334,zzs5b9
adj6kf8,4,/kaggle/input/test-colour/test_cleaned_color_resized/adj6kf8-0.png,0.5714285714285714,od6xf8
f73kv,5,/kaggle/input/test-colour/test_cleaned_color_resized/f73kv-0.png,1.0,f73kv
kdghy,4,/kaggle/input/test-colour/test_cleaned_color_resized/kdghy-0.png,0.8,kdgky
u2fa,4,/kaggle/input/test-colour/test_cleaned_color_resized/u2fa-0.png,1.0,u2fa
m9p8,4,/kaggle/input/test-colour/test_cleaned_color_resized/m9p8-0.png,1.0,m9p8
i7hqc7,6,/kaggle/input/test-colour/test_cleaned_color_resized/i7hqc7-0.png,1.0,i7hqc7
q7u1e9,6,/kaggle/input/test-colour/test_cleaned_color_resized/q7u1e9-0.png,1.0,q7u1e9
sd2xyvxr,7,/kaggle/input/test-colour/test_cleaned_color_resized/sd2xyvxr-0.png,0.875,sd2xyuxr
3psc,4,/kaggle/input/test-colour/test_cleaned_color_resized/3psc-0.png,1.0,3psc
4drah,2,/kaggle/input/test-colour/test_cleaned_color_resized/4drah-0.png,0.4,qqraw
4dxxn2,6,/kaggle/input/test-colour/test_cleaned_color_resized/4dxxn2-0.png,1.0,4dxxn2
35av6,5,/kaggle/input/test-colour/test_cleaned_color_resized/35av6-0.png,1.0,35av6
0chnm34,4,/kaggle/input/test-colour/test_cleaned_color_resized/0chnm34-0.png,0.5714285714285714,8qmnm34
clsev,3,/kaggle/input/test-colour/test_cleaned_color_resized/clsev-0.png,0.6,clsc
2y43vf,3,/kaggle/input/test-colour/test_cleaned_color_resized/2y43vf-0.png,0.5,qy48uf
nq4a7mvu,5,/kaggle/input/test-colour/test_cleaned_color_resized/nq4a7mvu-0.png,0.625,wq447mv
1u81r,3,/kaggle/input/test-colour/test_cleaned_color_resized/1u81r-0.png,0.6,iu8ir
4rlub61,3,/kaggle/input/test-colour/test_cleaned_color_resized/4rlub61-0.png,0.4285714285714286,4rv86
a3am,3,/kaggle/input/test-colour/test_cleaned_color_resized/a3am-0.png,0.75,a3gm
8dz3,4,/kaggle/input/test-colour/test_cleaned_color_resized/8dz3-0.png,1.0,8dz3
zeivut8,3,/kaggle/input/test-colour/test_cleaned_color_resized/zeivut8-0.png,0.4285714285714286,2ejnt8
i23xg1a8,6,/kaggle/input/test-colour/test_cleaned_color_resized/i23xg1a8-0.png,0.75,ir3xg1d8
002e23,6,/kaggle/input/test-colour/test_cleaned_color_resized/002e23-0.png,1.0,002e23
jflkkg,2,/kaggle/input/test-colour/test_cleaned_color_resized/jflkkg-0.png,0.33333333333333337,itukkq
l4ig8,5,/kaggle/input/test-colour/test_cleaned_color_resized/l4ig8-0.png,1.0,l4ig8
mpf8iasl,3,/kaggle/input/test-colour/test_cleaned_color_resized/mpf8iasl-0.png,0.375,mzfb1s1
imr5u172,6,/kaggle/input/test-colour/test_cleaned_color_resized/imr5u172-0.png,0.75,im5u772
m3mc3hu,7,/kaggle/input/test-colour/test_cleaned_color_resized/m3mc3hu-0.png,1.0,m3mc3hu
eznvbmw,7,/kaggle/input/test-colour/test_cleaned_color_resized/eznvbmw-0.png,1.0,eznvbmw
j75a0u,5,/kaggle/input/test-colour/test_cleaned_color_resized/j75a0u-0.png,0.8333333333333334,j75p0u
hc8jk3,6,/kaggle/input/test-colour/test_cleaned_color_resized/hc8jk3-0.png,1.0,hc8jk3
0favtnx,6,/kaggle/input/test-colour/test_cleaned_color_resized/0favtnx-0.png,0.8571428571428572,ofavtnx
cuygj9,4,/kaggle/input/test-colour/test_cleaned_color_resized/cuygj9-0.png,0.6666666666666667,cu76j9
wmzfebyg,8,/kaggle/input/test-colour/test_cleaned_color_resized/wmzfebyg-0.png,1.0,wmzfebyg
hagreh,6,/kaggle/input/test-colour/test_cleaned_color_resized/hagreh-0.png,1.0,hagreh
71uitis,5,/kaggle/input/test-colour/test_cleaned_color_resized/71uitis-0.png,0.7142857142857143,71u1t1s
u22w,3,/kaggle/input/test-colour/test_cleaned_color_resized/u22w-0.png,0.75,22w
pkw2wx6n,8,/kaggle/input/test-colour/test_cleaned_color_resized/pkw2wx6n-0.png,1.0,pkw2wx6n
eq9vn3,6,/kaggle/input/test-colour/test_cleaned_color_resized/eq9vn3-0.png,1.0,eq9vn3
na3ys44w,8,/kaggle/input/test-colour/test_cleaned_color_resized/na3ys44w-0.png,1.0,na3ys44w
wm23u,1,/kaggle/input/test-colour/test_cleaned_color_resized/wm23u-0.png,0.0,nnwj
inrjbf6,6,/kaggle/input/test-colour/test_cleaned_color_resized/inrjbf6-0.png,0.8571428571428572,irjbf6
ciixax,5,/kaggle/input/test-colour/test_cleaned_color_resized/ciixax-0.png,0.8333333333333334,cilxax
a7hna,3,/kaggle/input/test-colour/test_cleaned_color_resized/a7hna-0.png,0.6,a7hm8
tw1svg,5,/kaggle/input/test-colour/test_cleaned_color_resized/tw1svg-0.png,0.8333333333333334,tw7svg
vecqb,5,/kaggle/input/test-colour/test_cleaned_color_resized/vecqb-0.png,0.8333333333333334,vecq6b
ppsxh90,7,/kaggle/input/test-colour/test_cleaned_color_resized/ppsxh90-0.png,1.0,ppsxh90
zjalw,5,/kaggle/input/test-colour/test_cleaned_color_resized/zjalw-0.png,1.0,zjalw
hy850xk1,6,/kaggle/input/test-colour/test_cleaned_color_resized/hy850xk1-0.png,0.75,hy85oxk
p5w9vz2l,4,/kaggle/input/test-colour/test_cleaned_color_resized/p5w9vz2l-0.png,0.5,pwwv2v
qq1o4o,6,/kaggle/input/test-colour/test_cleaned_color_resized/qq1o4o-0.png,1.0,qq1o4o
845ios,5,/kaggle/input/test-colour/test_cleaned_color_resized/845ios-0.png,0.8333333333333334,845ies
8vks9h,6,/kaggle/input/test-colour/test_cleaned_color_resized/8vks9h-0.png,1.0,8vks9h
66qv60,6,/kaggle/input/test-colour/test_cleaned_color_resized/66qv60-0.png,1.0,66qv60
jhxgb3,5,/kaggle/input/test-colour/test_cleaned_color_resized/jhxgb3-0.png,0.8333333333333334,jhxqb3
vgiqt,4,/kaggle/input/test-colour/test_cleaned_color_resized/vgiqt-0.png,0.8,vgiq1
i1yipm08,5,/kaggle/input/test-colour/test_cleaned_color_resized/i1yipm08-0.png,0.625,117ipmc8
ncawwh,3,/kaggle/input/test-colour/test_cleaned_color_resized/ncawwh-0.png,0.5,n7a1w
z2m7,4,/kaggle/input/test-colour/test_cleaned_color_resized/z2m7-0.png,1.0,z2m7
rk5tu,2,/kaggle/input/test-colour/test_cleaned_color_resized/rk5tu-0.png,0.4,yk5r4
wvnwm,2,/kaggle/input/test-colour/test_cleaned_color_resized/wvnwm-0.png,0.4,vvmmm
cwaqxmf,6,/kaggle/input/test-colour/test_cleaned_color_resized/cwaqxmf-0.png,0.8571428571428572,cwagxmf
7y05t,5,/kaggle/input/test-colour/test_cleaned_color_resized/7y05t-0.png,1.0,7y05t
w15fnfz7,8,/kaggle/input/test-colour/test_cleaned_color_resized/w15fnfz7-0.png,1.0,w15fnfz7
24y0s85,6,/kaggle/input/test-colour/test_cleaned_color_resized/24y0s85-0.png,0.8571428571428572,24yos85
hvk6,4,/kaggle/input/test-colour/test_cleaned_color_resized/hvk6-0.png,1.0,hvk6
e72avg8,7,/kaggle/input/test-colour/test_cleaned_color_resized/e72avg8-0.png,1.0,e72avg8
k11b,4,/kaggle/input/test-colour/test_cleaned_color_resized/k11b-0.png,1.0,k11b
m16cz,5,/kaggle/input/test-colour/test_cleaned_color_resized/m16cz-0.png,1.0,m16cz
aj0w0o,5,/kaggle/input/test-colour/test_cleaned_color_resized/aj0w0o-0.png,0.8333333333333334,ajow0o
vvdmc,5,/kaggle/input/test-colour/test_cleaned_color_resized/vvdmc-0.png,1.0,vvdmc
48nd6j,6,/kaggle/input/test-colour/test_cleaned_color_resized/48nd6j-0.png,1.0,48nd6j
sh2wjt,5,/kaggle/input/test-colour/test_cleaned_color_resized/sh2wjt-0.png,0.8333333333333334,sh2mjt
x5jeo,4,/kaggle/input/test-colour/test_cleaned_color_resized/x5jeo-0.png,0.8,xsjeo
sml0n3dv,8,/kaggle/input/test-colour/test_cleaned_color_resized/sml0n3dv-0.png,1.0,sml0n3dv
0tbe,4,/kaggle/input/test-colour/test_cleaned_color_resized/0tbe-0.png,1.0,0tbe
sve7ng,6,/kaggle/input/test-colour/test_cleaned_color_resized/sve7ng-0.png,1.0,sve7ng
2oy2f9,6,/kaggle/input/test-colour/test_cleaned_color_resized/2oy2f9-0.png,1.0,2oy2f9
08sba,5,/kaggle/input/test-colour/test_cleaned_color_resized/08sba-0.png,1.0,08sba
wkai,2,/kaggle/input/test-colour/test_cleaned_color_resized/wkai-0.png,0.5,vka1
txjoqodg,8,/kaggle/input/test-colour/test_cleaned_color_resized/txjoqodg-0.png,1.0,txjoqodg
6b8qqt,6,/kaggle/input/test-colour/test_cleaned_color_resized/6b8qqt-0.png,1.0,6b8qqt
al5oidta,8,/kaggle/input/test-colour/test_cleaned_color_resized/al5oidta-0.png,1.0,al5oidta
3ia0oel,5,/kaggle/input/test-colour/test_cleaned_color_resized/3ia0oel-0.png,0.7142857142857143,3iaqdel
t7l7ebx,6,/kaggle/input/test-colour/test_cleaned_color_resized/t7l7ebx-0.png,0.8571428571428572,7l7ebx
2aidl,5,/kaggle/input/test-colour/test_cleaned_color_resized/2aidl-0.png,1.0,2aidl
ux6fdl,6,/kaggle/input/test-colour/test_cleaned_color_resized/ux6fdl-0.png,0.8571428571428572,ux6fddl
fygzfbbv,8,/kaggle/input/test-colour/test_cleaned_color_resized/fygzfbbv-0.png,1.0,fygzfbbv
0k2lyyc,2,/kaggle/input/test-colour/test_cleaned_color_resized/0k2lyyc-0.png,0.2857142857142857,ox2yz
iq1t40,4,/kaggle/input/test-colour/test_cleaned_color_resized/iq1t40-0.png,0.6666666666666667,iq7x40
h50769iw,8,/kaggle/input/test-colour/test_cleaned_color_resized/h50769iw-0.png,0.8888888888888888,h5o0769iw
42g6nr0,4,/kaggle/input/test-colour/test_cleaned_color_resized/42g6nr0-0.png,0.5714285714285714,y2g6nqo
xeoav,5,/kaggle/input/test-colour/test_cleaned_color_resized/xeoav-0.png,1.0,xeoav
b37if3k,5,/kaggle/input/test-colour/test_cleaned_color_resized/b37if3k-0.png,0.7142857142857143,833if3k
ui7l,3,/kaggle/input/test-colour/test_cleaned_color_resized/ui7l-0.png,0.75,ul7l
tfwptzc,7,/kaggle/input/test-colour/test_cleaned_color_resized/tfwptzc-0.png,1.0,tfwptzc
wcv2ys,6,/kaggle/input/test-colour/test_cleaned_color_resized/wcv2ys-0.png,1.0,wcv2ys
wqhw3c,6,/kaggle/input/test-colour/test_cleaned_color_resized/wqhw3c-0.png,1.0,wqhw3c
o7wk,2,/kaggle/input/test-colour/test_cleaned_color_resized/o7wk-0.png,0.5,07wx
nurb3d,3,/kaggle/input/test-colour/test_cleaned_color_resized/nurb3d-0.png,0.5,ur83o
59cjavrg,7,/kaggle/input/test-colour/test_cleaned_color_resized/59cjavrg-0.png,0.875,59cjavg
iwlynjx2,3,/kaggle/input/test-colour/test_cleaned_color_resized/iwlynjx2-0.png,0.30000000000000004,1w1zxxxzx2
4dbe,4,/kaggle/input/test-colour/test_cleaned_color_resized/4dbe-0.png,1.0,4dbe
8gs2o4ht,8,/kaggle/input/test-colour/test_cleaned_color_resized/8gs2o4ht-0.png,1.0,8gs2o4ht
cnm7d0b,6,/kaggle/input/test-colour/test_cleaned_color_resized/cnm7d0b-0.png,0.8571428571428572,cm7d0b
x7mkdulu,8,/kaggle/input/test-colour/test_cleaned_color_resized/x7mkdulu-0.png,1.0,x7mkdulu
6rqy5,5,/kaggle/input/test-colour/test_cleaned_color_resized/6rqy5-0.png,1.0,6rqy5
uqdd8,4,/kaggle/input/test-colour/test_cleaned_color_resized/uqdd8-0.png,0.8,vqdd8
bms2xok,6,/kaggle/input/test-colour/test_cleaned_color_resized/bms2xok-0.png,0.8571428571428572,bms2xak
xupyep0m,6,/kaggle/input/test-colour/test_cleaned_color_resized/xupyep0m-0.png,0.75,xjpyp0m
c1ja0,4,/kaggle/input/test-colour/test_cleaned_color_resized/c1ja0-0.png,0.8,c7ja0
bgrel,4,/kaggle/input/test-colour/test_cleaned_color_resized/bgrel-0.png,0.6,bgr2e
sid2fxzf,7,/kaggle/input/test-colour/test_cleaned_color_resized/sid2fxzf-0.png,0.875,svd2fxzf
q0uxb2,5,/kaggle/input/test-colour/test_cleaned_color_resized/q0uxb2-0.png,0.8333333333333334,g0uxb2
ootptmf,4,/kaggle/input/test-colour/test_cleaned_color_resized/ootptmf-0.png,0.5714285714285714,ocptmq
bkgkg,4,/kaggle/input/test-colour/test_cleaned_color_resized/bkgkg-0.png,0.8,bkgkb
4943m,4,/kaggle/input/test-colour/test_cleaned_color_resized/4943m-0.png,0.8,494m
kklr2ztk,8,/kaggle/input/test-colour/test_cleaned_color_resized/kklr2ztk-0.png,1.0,kklr2ztk
he7grud,7,/kaggle/input/test-colour/test_cleaned_color_resized/he7grud-0.png,1.0,he7grud
39uww47,3,/kaggle/input/test-colour/test_cleaned_color_resized/39uww47-0.png,0.4285714285714286,mwww7
8a27,4,/kaggle/input/test-colour/test_cleaned_color_resized/8a27-0.png,1.0,8a27
tnrn3o2p,8,/kaggle/input/test-colour/test_cleaned_color_resized/tnrn3o2p-0.png,1.0,tnrn3o2p
p7qjg,5,/kaggle/input/test-colour/test_cleaned_color_resized/p7qjg-0.png,1.0,p7qjg
dzjzg,5,/kaggle/input/test-colour/test_cleaned_color_resized/dzjzg-0.png,1.0,dzjzg
aotaaj,3,/kaggle/input/test-colour/test_cleaned_color_resized/aotaaj-0.png,0.5,qbtaqj
eoivh,3,/kaggle/input/test-colour/test_cleaned_color_resized/eoivh-0.png,0.6,cojvh
kenmc,5,/kaggle/input/test-colour/test_cleaned_color_resized/kenmc-0.png,1.0,kenmc
fkzdxrta,8,/kaggle/input/test-colour/test_cleaned_color_resized/fkzdxrta-0.png,1.0,fkzdxrta
ufze,3,/kaggle/input/test-colour/test_cleaned_color_resized/ufze-0.png,0.75,uf2e
i2tc,2,/kaggle/input/test-colour/test_cleaned_color_resized/i2tc-0.png,0.5,12te
p8agb,5,/kaggle/input/test-colour/test_cleaned_color_resized/p8agb-0.png,0.8333333333333334,p8aggb
t9zn2ll7,5,/kaggle/input/test-colour/test_cleaned_color_resized/t9zn2ll7-0.png,0.625,x9zn2ln
jrofo1b,7,/kaggle/input/test-colour/test_cleaned_color_resized/jrofo1b-0.png,1.0,jrofo1b
8p2da,4,/kaggle/input/test-colour/test_cleaned_color_resized/8p2da-0.png,0.8,8p2dr
6885kiy,2,/kaggle/input/test-colour/test_cleaned_color_resized/6885kiy-0.png,0.2857142857142857,f4s4iy
ewikf,5,/kaggle/input/test-colour/test_cleaned_color_resized/ewikf-0.png,1.0,ewikf
dbhfyd,2,/kaggle/input/test-colour/test_cleaned_color_resized/dbhfyd-0.png,0.33333333333333337,d8h4zq
